Facility_Name,lat,long,level_0,State,City,Primary Restriction,Other Requirement 1,Other Requirement 2,Other Requirement 3,Other Requirement 4,Color Coding,num_max_books,only_paperback,condition_good_used_okay,bundle,has_no_restrictions,condition_new,needs_prior_approval,hardcover_okay,accept_books,Number_of_books_accepted
Broward Main Jail,26.128487,-80.103853,230,Florida,Ft. Lauderdale,DNS,,,,,dns,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Conte,26.121044,-80.142951,231,Florida,Ft. Lauderdale,"Write: ""c/o Chaplain Rick Braswell"" in the return address.",,,,,"write: ""c/o chaplain rick braswell"" in the return address.",9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
House of Hope,26.128487,-80.103853,232,Florida,Ft. Lauderdale,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Lucie County Jail,27.45321,-80.4099,234,Florida,Fort Pierce,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Gainesville Work Camp,29.309369,-82.197613,235,Florida,Gainesville,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Graceville,-27.522288,152.984268,236,Florida,Graceville,,No Violence,"No composition books, 10 sheets of blank paper is okay in lieu of composition book",,,,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Accept limited books,4
Gadsen Reentry Lane,23.13302,-82.38304,237,Florida,Havanna,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Hawkinsville,41.7607,-122.62197,238,Florida,Hawkinsville,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,No limit on books,No limit on books
Holly Hill,29.245432,-81.045946,240,Florida,Holly Hill,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Henry Correctional ,36.623238,-79.955242,241,Florida,Immokalee,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Martin Correctional ,27.1966,-80.4843,242,Florida,Indiantown,,,No Sex,no plastic pouches in book,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
HCI,47.027952,3.143881,243,Florida,Interlachen,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Duval County Jail,27.76266,-98.2354,244,Florida,Jacksonville,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Hamilton Correctional (and Annex),30.523272,-82.956524,245,Florida,Jasper,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No limit on books,No limit on books
Berrydale Forestry Camp,41.026781,-75.713664,246,Florida,Jay,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Osceola County Jail,28.086448,-81.109656,247,Florida,Kissimmee,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Reception & Medical Center (RMC),51.395185,3.488254,248,Florida,Lake Butler,,"Composition Books NOT Allowed,","No blank paper, cards or envelopes",,,,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Accept limited books,4
Bridges of America Work Camp,47.976094,-121.88703,249,Florida,Lake City,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Columbia Correctional ,43.566253,-89.490174,250,Florida,Lake City,,No Legal Primer-1,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Lake City Correctional Facility,30.19308,-82.50731,251,Florida,Lake City,no plastic wrap,,,,,no plastic wrap,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Pasco County Detention Ctr,28.267081,-82.671084,252,Florida,Land O Lakes,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Lawtey C.I.,30.046624,-82.071073,253,Florida,Lawtey,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Suwannee Work Camp,40.027755,-90.961768,254,Florida,Live Oak ,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Loxahatchee Road Prison,26.752516,-80.161387,255,Florida,West Palm Beach,,,No Sex,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Marion Correctional ,29.308003,-82.175195,256,Florida,Lowell,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Marion Correctional ,29.308003,-82.175195,800,North Carolina,Marion,,,,,,,9999,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Marion Correctional ,40.618772,-83.10573,256,Florida,Lowell,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Marion Correctional ,40.618772,-83.10573,800,North Carolina,Marion,,,,,,,9999,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Madison Correctional ,38.747651,-85.403546,257,Florida,Madison,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Madison Correctional ,38.747651,-85.403546,399,Indiana,Madison,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Madison Correctional ,38.747651,-85.403546,862,Ohio,London,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Madison Correctional ,38.747651,-85.403546,257,Florida,Madison,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Madison Correctional ,38.747651,-85.403546,399,Indiana,Madison,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Madison Correctional ,38.747651,-85.403546,862,Ohio,London,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Madison Correctional ,39.892518,-83.453275,257,Florida,Madison,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Madison Correctional ,39.892518,-83.453275,399,Indiana,Madison,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Madison Correctional ,39.892518,-83.453275,862,Ohio,London,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Jackson Correctional ,30.968727,-85.168598,258,Florida,Malone,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Jackson Correctional ,30.968727,-85.168598,629,Missouri,Kansas City,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Jackson Correctional ,30.968727,-85.168598,1197,Wisconsin,Black River Falls,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Jackson Correctional ,39.391255,-95.793656,258,Florida,Malone,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Jackson Correctional ,39.391255,-95.793656,629,Missouri,Kansas City,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Jackson Correctional ,39.391255,-95.793656,1197,Wisconsin,Black River Falls,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Jackson Correctional ,44.307045,-90.791882,258,Florida,Malone,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Jackson Correctional ,44.307045,-90.791882,629,Missouri,Kansas City,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Jackson Correctional ,44.307045,-90.791882,1197,Wisconsin,Black River Falls,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Federal Prison Camp,42.880134,-97.390222,259,Florida,Marianna,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Mayo Correctional ,38.88761,-76.5119,260,Florida,Mayo,     ,,No Sex,,,     ,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
FDC Miami / FCI,10.96389,-74.79639,262,Florida,Miami,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
South Florida PDC/RC,-12.819233,-50.657067,263,Florida,Miami,,,,,,,9999,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Blackwater River CF,-23.579705,148.888552,265,Florida,Milton,,,No Learn How To Draw Books,No Coloring Books,,,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Accept limited books,4
Santa Rosa Correctional (SRCI),14.163004,-90.362039,266,Florida,Milton,Verify exact commited name,,,No photocopies,,verify exact commited name,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Monroe County Detention ,24.577053,-81.752114,268,Florida,Monroe,,,,,  ,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Jefferson Correctional ,30.509727,-83.801571,269,Florida,Monticello,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Moore Haven Correctional ,26.833493,-81.097631,270,Florida,Moore Haven,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Naples Jail Center,26.119243,-81.756722,271,Florida,Naples,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Florida Women's Reception Center,29.30997,-82.18702,272,Florida,Ocala,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No limit on books,No limit on books
Lowell Women's Correctional (LCI),29.311014,-82.199596,273,Florida,Ocala,,,No Maps,No Coloring Books,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Marion County Jail,29.19294,-82.1726,396,Indiana,Indianapolis,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Marion County Jail,39.765966,-86.153156,396,Indiana,Indianapolis,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Okeechobee Correctional ,27.3971,-80.7844,276,Florida,Okeechobee,"No composition books, ok to send 10 sheets of blank paper in lieu of composition book",,"No How to books (drawing, elec, business, computer, etc.)",No Sex,,"no composition books, ok to send 10 sheets of blank paper in lieu of composition book",9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No limit on books,No limit on books
Central Florida (CFRC),-18.122547,-63.958971,277,Florida,Orlando,"No composition books, ok to send 10 sheets of blank paper in lieu of composition book",,"No Composition Books, added 1-13-22 mike","No how to draw books, from property 8-23-21 mike",,"no composition books, ok to send 10 sheets of blank paper in lieu of composition book",9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Orange County Jail,28.508294,-81.41392,278,Florida,Orlando,,,Must show cell number from database,"Send to PO Box 4970, Orlando, FL 32802-4970",,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Orange County Jail,28.508294,-81.41392,404,Indiana,Paoli,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Orange County Jail,33.748883,-117.878655,278,Florida,Orlando,,,Must show cell number from database,"Send to PO Box 4970, Orlando, FL 32802-4970",,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Orange County Jail,33.748883,-117.878655,404,Indiana,Paoli,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Bay Correctional ,30.26464,-85.505905,280,Florida,Panama City,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
FPC Pensacola,30.493299,-87.342272,281,Florida,Pensacola,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Taylor Correctional ,32.301358,-99.890133,282,Florida,Perry,,"No sex, No violence",Nothing inflammatory,No instructions for building weapons,,,9999,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Taylor Correctional Annex,30.0415,-83.7111,283,Florida,Perry,,"No sex, No violence",Nothing inflammatory,No instructions for building weapons,,,9999,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Monroe Correctional ,47.844428,-121.999218,284,Florida,Plantation,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Demilly Correctional ,-35.36995,149.17551,285,Florida,Polk City,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Polk CI & Work Camp,37.797695,-122.422273,287,Florida,Polk City,10800 Evans Rd.,,,,,10800 evans rd.,9999,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,No limit on books,No limit on books
Charlotte Correctional ,26.953556,-81.976884,289,Florida,Punta Gorda,,,,No Sex,No Violence,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Gadsden Correctional (women's),30.55529,-84.619685,290,Florida,Quincy ,,,No Composition Books,No Coloring Books,No Computer Books,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Quincy Annex,10.144565,77.127757,291,Florida,Quincy ,,,No Composition Books,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
